Rk,Pk,Tm,Round 1_Player,Round 1_College,Yrs,Totals_G,Totals_MP,Totals_PTS,Totals_TRB,Totals_AST,Shooting_FG%,Shooting_3P%,Shooting_FT%,Per Game_MP,Per Game_PTS,Per Game_TRB,Per Game_AST,Advanced_WS,Advanced_WS/48,Advanced_BPM,Advanced_VORP,draft_year
29,29,SAS,Cory Joseph,Texas,14,866,18296,5828,2094,2517,.440,.350,.786,21.1,6.7,2.4,2.9,32.1,.084,-1.1,4.0,2011
30,30,CHI,Jimmy Butler,Marquette,15,907,29972,16658,4858,3957,.474,.330,.844,33.0,18.4,5.4,4.4,129.4,.207,5.0,52.8,2011
,,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,2011
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,2011
31,31,MIA,Bojan Bogdanović,,10,719,20890,11184,2559,1194,.460,.394,.859,29.1,15.6,3.6,1.7,37.6,.086,-0.9,5.8,2011
32,32,CLE,Justin Harper,Richmond,3,22,150,45,18,4,.340,.276,.333,6.8,2.0,0.8,0.2,-0.3,-.093,-8.7,-0.2,2011
33,33,DET,Kyle Singler,Duke,6,356,7794,2326,1026,272,.418,.362,.786,21.9,6.5,2.9,0.8,10.0,.062,-2.5,-0.9,2011
34,34,WAS,Shelvin Mack,Butler,8,456,8392,2997,894,1421,.423,.330,.731,18.4,6.6,2.0,3.1,10.3,.059,-1.9,0.1,2011
35,35,SAC,Tyler Honeycutt,UCLA,2,24,120,28,24,9,.314,.200,.714,5.0,1.2,1.0,0.4,-0.1,-.049,-5.1,-0.1,2011
36,36,NJN,Jordan Williams,Maryland,1,43,635,197,156,11,.507,,.652,14.8,4.6,3.6,0.3,1.3,.101,-2.1,0.0,2011
37,37,LAC,Trey Thompkins,Georgia,1,24,119,57,24,3,.393,.308,.714,5.0,2.4,1.0,0.1,0.0,.004,-5.7,-0.1,2011
